name,href,price,price1
360手机 N7 Pro 全网通智能手机 6GB+128GB,https://www.smzdm.com/p/11248420/,1890元包邮（需用券）,1890
nubia 努比亚 Z17 智能手机 旭日金 6GB+64GB,https://www.smzdm.com/p/11229859/,1899元包邮（双重优惠）,1899
HUAWEI 华为 荣耀Play 全网通智能手机 6GB+128GB 星云紫,https://www.smzdm.com/p/11225542/,1909元包邮（需用码）,1909
HUAWEI 华为 荣耀Play 智能手机 6GB 128GB 星云紫,https://www.smzdm.com/p/11218303/,1919元包邮（需用券）,1919
nubia 努比亚 Z17S 智能手机 黑金 6GB 64GB,https://www.smzdm.com/p/11215020/,1949元包邮（需用券）,1949
HUAWEI 华为 麦芒7 智能手机 6GB+64GB,https://www.smzdm.com/p/11248915/,2098元包邮,2098
meitu 美图 T8s 智能手机 冰川蓝 4GB 128GB 全网通,https://www.smzdm.com/p/11233373/,2099元包邮（需用券）,2099
Honor 荣耀 荣耀V10 智能手机 6GB+128GB,https://www.smzdm.com/p/11245852/,2239元包邮,2239
HUAWEI 华为 荣耀10 智能手机 6GB+128GB,https://www.smzdm.com/p/11237112/,2289元包邮（需用券）,2289
HUAWEI 华为 荣耀10 智能手机,https://www.smzdm.com/p/11249064/,2339元包邮,2339
HUAWEI 华为 nova 3 智能手机 6GB+128GB 浅艾蓝,https://www.smzdm.com/p/11247881/,2389元包邮（需用券）,2389
现货发售 : MEIZU 魅族 16X 智能手机 砚墨黑 6GB 128GB,https://www.smzdm.com/p/11224804/,2398元包邮,2398
MI 小米 小米8 智能手机 白色 6GB 64GB,https://www.smzdm.com/p/11236424/,2399元,2399
SAMSUNG 三星 Galaxy A9 Star 智能手机 极昼白 4GB 64GB,https://www.smzdm.com/p/11227817/,2399元包邮,2399
HUAWEI 华为 nova 3 智能手机,https://www.smzdm.com/p/11249033/,2549元包邮,2549
HUAWEI 华为 Mate 10 智能手机 樱粉金 4GB 64GB,https://www.smzdm.com/p/11245877/,2609元包邮（需用码）,2609
三星 Galaxy S 轻奢版（SM-G8750）4GB+64GB 谜夜黑 移动联通电信4G手机 双卡双待,https://www.smzdm.com/p/11252270/,2699元,2699
16点开始 : SONY 索尼 Xperia XZ1 4GB+64GB版 智能手机 墨黑,https://www.smzdm.com/p/11245743/,2699元包邮,2699
Apple 苹果 iPhone 6s Plus 全网通智能手机 32GB,https://www.smzdm.com/p/11216424/,2788元包邮,2788
再补货 : HUAWEI 华为 P20 智能手机 6GB+64GB 极光闪蝶色,https://www.smzdm.com/p/11235682/,2879元包邮（需用券）,2879
HUAWEI 华为 P20 智能手机 6GB+64GB 极光闪蝶色,https://www.smzdm.com/p/11235740/,2888元包邮,2888
smartisan 锤子科技 坚果 R1 智能手机 8GB 128GB 碳黑色,https://www.smzdm.com/p/11232483/,2899元,2899
